client_id,total_errors,total_successes
555,0,1
647,0,1
934,1,0
1028,1,0
1104,2,0
1186,2,0
1195,0,1
1197,0,1
1336,1,1
1346,1,0
1368,1,0
1516,1,1
1643,2,1
1702,3,0
1755,1,1
1836,2,1
1936,0,1
2439,1,0
2581,1,0
2720,1,0
3232,0,1
3572,0,1
3647,2,0
3743,0,1
4369,0,1
4484,0,1
4603,1,1
4717,1,1
4870,0,1
5354,1,1
5845,2,0
6022,1,0
6150,1,0
6642,0,1
6904,0,1
6977,0,1
6985,0,1
7020,1,1
7561,2,0
7563,0,1
7567,0,1
7657,0,1
7723,0,1
7934,1,0
8023,1,0
8039,1,0
8055,0,1
8101,0,1
8124,1,0
8610,1,0
8712,1,0
8820,0,1
9229,1,0
9751,1,0
9767,1,1
9845,1,0
9916,2,0
10344,1,0
10363,1,0
11040,0,1
11054,0,1
11070,1,1
11122,0,1
11309,1,1
11880,1,1
12045,1,0
12785,0,1
13009,0,1
13735,0,1
13831,2,0
14690,1,0
14775,1,0
15050,0,1
15189,0,1
15753,2,0
15807,1,0
16095,1,0
16098,0,1
16135,4,1
16202,1,0
16295,0,1
16549,3,1
16679,3,0
16744,1,0
16747,0,1
16881,1,0
17008,0,1
17036,0,1
17160,3,1
17170,0,1
17318,1,0
17404,0,1
18549,1,1
18660,1,0
18973,0,1
19060,1,0
19613,1,0
19782,0,1
19813,0,1
19832,0,1
20091,0,1
20185,1,1
20537,0,1
20564,0,1
20643,0,1
20668,1,0
20898,1,0
21200,1,0
21242,0,1
21281,1,1
21353,0,1
21403,3,0
21498,1,1
21522,2,0
21596,0,1
21719,1,0
21940,2,1
21970,1,1
22007,0,1
22793,1,0
22885,3,0
23276,0,1
23864,0,1
23914,0,1
24079,1,0
24443,1,1
24572,0,1
24703,2,0
24710,0,1
24841,5,1
25022,0,1
25026,0,1
25043,0,1
25766,0,1
26036,0,1
26070,0,1
26105,0,1
26211,0,1
26286,1,0
26696,1,0
27021,0,1
27075,0,1
27241,1,1
27554,0,1
27764,1,1
27907,0,1
27988,3,1
28241,0,1
28371,1,1
28542,0,1
28705,1,1
28845,0,1
28857,1,1
29227,0,1
29527,0,1
29595,1,1
30318,2,1
30462,1,0
30493,0,1
31191,1,0
31264,1,1
31336,2,1
31404,0,1
31499,0,1
31502,0,1
31597,3,1
31715,0,1
31766,2,0
32197,0,1
32305,1,0
32471,1,0
32521,0,1
