client_id,visit_id,variation,minutes_spent
2182225,831987489_84761163210_335684,control,699
6392043,478417687_30092205462_548423,test,527
9553121,483738263_4057680487_61869,control,381
9971962,501042989_50588313479_700675,test,300
5282553,588904389_16165570985_286826,control,284
4647786,391696103_92230204739_479887,test,281
8910393,167640470_43696749980_780744,test,266
4803107,416635057_22840074620_580752,test,212
6420672,627596734_90499955288_891366,control,189
7848564,548692827_385358773_951099,control,169
4875277,888059775_41615184565_735869,test,166
4538401,981005401_83512424361_358636,test,164
2882702,605153028_51517094625_529507,control,159
5184096,714640220_42385568710_711640,test,158
1943018,155305468_93296256914_310722,test,157
6699269,121539902_39215756141_237356,test,149
82712,653098082_14488845768_723395,control,147
2283351,917141167_79903154820_914408,control,132
9770521,219637720_95218167571_202803,control,130
7272106,147343786_96837781264_219140,test,126
7848564,75706104_92324995873_572878,control,126
6683397,527877065_42858421332_675939,test,126
6251214,437446967_60745740605_562480,test,122
8684880,314708623_93348607311_884070,control,121
4719244,354738736_98626604051_273278,test,118
316017,988955558_77973767643_809241,test,118
8875061,198817251_16289518507_269759,test,117
3541390,284474928_99160020651_787250,test,117
158047,978759989_20162934414_194885,test,117
7160494,921420244_22075979362_623677,test,117
9988021,219729223_42518459208_211914,test,117
4474993,477134975_44940270744_628856,test,117
4713128,822591671_38204062752_318266,test,117
3035523,357534320_82878290012_131935,test,117
4379554,186680590_18659693710_82534,control,116
746652,668541820_38461877377_508582,test,116
9026974,238705546_73858196107_367279,test,116
4402639,19772754_50272214863_722234,test,116
2573092,844228903_71694336225_54897,test,115
5554918,885867819_72623351172_905090,test,115
5229181,65700500_10991864892_363827,test,115
2673006,335289108_14602916439_341661,test,115
6726907,425065510_15134896840_923987,test,115
758089,964444166_55825597201_182531,test,114
354470,23127249_5723840933_689396,test,114
9644794,297142831_73904383173_840421,test,114
4557366,89076580_51739503136_236731,control,114
3616073,192610287_73139264154_785164,test,114
6164188,171083873_3756289961_109356,test,114
513864,980586985_50174436467_4405,control,114
5929008,835415604_51662185531_316125,control,114
2196511,533429166_8203298244_391770,test,114
1015744,207092027_57720883914_643975,test,113
9465233,431435084_51153433741_170713,test,113
3975108,89768182_42962659074_529073,test,113
9830374,989159164_77199509780_483428,test,113
5229181,59800069_43462359628_768888,test,113
4331632,60545354_4973639320_600822,test,113
9132604,738797567_37209524505_415599,test,113
7552835,343123049_15929237017_983925,control,113
1454475,773988903_33799933237_347020,control,112
7797739,944940076_63701063856_977976,test,112
5754354,909542137_43776543875_270909,test,112
8282731,712424467_12133232483_847803,test,112
4719244,932486303_2266984653_481562,test,111
4079351,502960396_34312689040_425168,control,110
3504849,747021435_81971404693_967845,test,109
5272209,979123181_47185056640_501726,control,109
5545517,327145568_1851575928_406446,test,108
4008787,798538791_1915417778_6262,test,108
8022370,991664869_47139354718_88880,test,108
8059745,866785799_68343877788_364630,test,107
3651601,617491263_79494671289_109237,test,107
1363737,316219919_12651862787_549292,test,107
6255565,788639786_86742974709_402443,control,106
6629974,7638026_26285482868_299752,test,106
8476794,723329998_49507671881_590913,test,106
2001185,279921824_67887355908_332029,control,106
2853895,844275542_53156288306_364608,control,106
7416675,41806328_56259860464_699015,test,105
4053786,602830065_65703315740_227601,test,105
8555631,808672163_60933088909_202730,control,105
6348982,658228044_67724369387_949655,test,104
5402410,875527037_89033789967_870852,test,104
3529675,184384158_33378986453_512268,test,104
9497997,982967909_32556404623_50649,test,103
7049685,467865462_63452701851_699819,test,103
385802,130369615_47622528451_671053,test,103
5095389,787341045_27500675623_650915,test,103
5256696,789623303_85580772794_618423,test,102
4477529,80775442_34863612521_612973,test,102
7002158,564238657_9429912131_394985,test,102
9488613,194839402_41643710742_725950,control,101
1096862,554690791_25157610768_131645,test,101
1841425,876032525_9020660254_518885,control,100
8616004,192860440_37834275758_156666,test,100
